Ligand ID,Mode,Affinity (kcal/mol),RMSD Lower Bound,RMSD Upper Bound
ligand_409140_docking,9,-4.661,17.15,18.09
ligand_9433287_docking,1,-6.378,0.0,0.0
ligand_9433287_docking,2,-6.335,3.659,4.758
ligand_9433287_docking,3,-6.118,2.077,2.791
ligand_9433287_docking,4,-6.083,2.502,8.044
ligand_9433287_docking,5,-6.018,2.592,8.623
ligand_9433287_docking,6,-6.008,2.654,8.327
ligand_9433287_docking,7,-5.809,4.093,5.836
ligand_9433287_docking,8,-5.763,4.296,7.479
ligand_9433287_docking,9,-5.619,4.23,6.152
ligand_165710126_docking,1,-6.368,0.0,0.0
ligand_165710126_docking,2,-6.34,0.1794,1.351
ligand_165710126_docking,3,-5.461,1.483,2.063
ligand_165710126_docking,4,-5.19,2.862,4.979
ligand_165710126_docking,5,-4.784,2.619,5.699
ligand_165710126_docking,6,-4.49,3.136,5.351
ligand_165710126_docking,7,-4.433,12.33,13.8
ligand_165710126_docking,8,-4.432,10.88,13.01
ligand_165710126_docking,9,-4.361,13.78,15.41
ligand_54810355_docking,1,-5.499,0.0,0.0
ligand_54810355_docking,2,-5.396,3.211,4.189
ligand_54810355_docking,3,-5.396,1.707,2.085
ligand_54810355_docking,4,-5.015,2.077,2.677
ligand_54810355_docking,5,-4.984,3.735,4.327
ligand_54810355_docking,6,-4.953,6.661,11.05
ligand_54810355_docking,7,-4.871,7.176,11.08
ligand_54810355_docking,8,-4.845,5.281,10.52
ligand_54810355_docking,9,-4.721,2.804,3.587
ligand_54839503_docking,1,-8.057,0.0,0.0
ligand_54839503_docking,2,-7.903,1.575,2.217
ligand_54839503_docking,3,-7.613,1.785,2.582
ligand_54839503_docking,4,-7.603,2.819,3.384
ligand_54839503_docking,5,-7.386,3.516,4.642
ligand_54839503_docking,6,-7.335,6.318,10.89
ligand_54839503_docking,7,-7.112,3.892,5.295
ligand_54839503_docking,8,-6.993,3.674,6.166
ligand_54839503_docking,9,-6.916,1.893,11.41
ligand_82258214_docking,1,-7.509,0.0,0.0
ligand_82258214_docking,2,-7.35,1.819,5.871
ligand_82258214_docking,3,-7.189,1.046,1.656
ligand_82258214_docking,4,-6.902,1.494,2.029
ligand_82258214_docking,5,-6.759,1.796,5.807
ligand_82258214_docking,6,-6.375,2.277,5.675
ligand_82258214_docking,7,-5.885,2.363,3.255
ligand_82258214_docking,8,-5.875,11.85,15.71
ligand_82258214_docking,9,-5.815,11.23,14.23
ligand_18470898_docking,1,-7.089,0.0,0.0
ligand_18470898_docking,2,-6.855,4.695,5.813
ligand_18470898_docking,3,-6.779,2.573,3.903
ligand_18470898_docking,4,-6.71,4.214,4.969
ligand_18470898_docking,5,-6.628,9.428,12.37
ligand_18470898_docking,6,-6.554,1.729,2.505
ligand_18470898_docking,7,-6.514,9.43,12.42
ligand_18470898_docking,8,-6.105,9.427,12.34
ligand_18470898_docking,9,-5.919,9.974,12.99
ligand_94272399_docking,1,-7.544,0.0,0.0
ligand_94272399_docking,2,-7.408,1.356,1.93
ligand_94272399_docking,3,-7.38,3.07,6.152
ligand_94272399_docking,4,-6.723,1.632,2.064
ligand_94272399_docking,5,-6.649,1.893,2.618
ligand_94272399_docking,6,-6.347,3.107,5.907
ligand_94272399_docking,7,-6.153,12.36,15.09
ligand_94272399_docking,8,-5.964,13.46,15.71
ligand_94272399_docking,9,-5.931,11.7,15.07
ligand_7877635_docking,1,-7.783,0.0,0.0
ligand_7877635_docking,2,-7.468,1.658,1.707
ligand_7877635_docking,3,-7.466,1.893,2.462
ligand_7877635_docking,4,-6.591,3.719,6.611
ligand_7877635_docking,5,-6.427,10.92,15.43
ligand_7877635_docking,6,-6.311,3.989,7.257
ligand_7877635_docking,7,-6.125,3.831,8.299
ligand_7877635_docking,8,-6.068,3.847,6.719
ligand_7877635_docking,9,-6.063,12.93,15.67
ligand_66171698_docking,1,-7.567,0.0,0.0
ligand_66171698_docking,2,-7.389,1.381,2.241
ligand_66171698_docking,3,-7.193,3.028,5.611
ligand_66171698_docking,4,-6.975,2.933,5.448
ligand_66171698_docking,5,-6.111,2.881,5.265
ligand_66171698_docking,6,-5.667,3.678,6.155
ligand_66171698_docking,7,-5.574,3.602,6.328
ligand_66171698_docking,8,-5.386,3.294,4.586
ligand_66171698_docking,9,-5.28,14.06,15.92
ligand_669115_docking,1,-7.31,0.0,0.0
ligand_669115_docking,2,-6.754,0.8657,1.772
ligand_669115_docking,3,-6.269,3.422,5.881
ligand_669115_docking,4,-6.161,3.93,6.251
ligand_669115_docking,5,-5.88,1.847,2.46
ligand_669115_docking,6,-5.82,13.6,16.51
ligand_669115_docking,7,-5.692,3.525,6.017
ligand_669115_docking,8,-5.635,3.46,5.925
ligand_669115_docking,9,-5.412,14.28,15.53
ligand_44221681_docking,1,-6.497,0.0,0.0
ligand_44221681_docking,2,-6.005,1.432,5.322
ligand_44221681_docking,3,-5.156,12.69,16.23
ligand_44221681_docking,4,-5.092,13.02,16.3
ligand_44221681_docking,5,-5.052,12.36,15.56
ligand_44221681_docking,6,-4.825,11.5,14.5
ligand_44221681_docking,7,-4.763,13.67,16.65
ligand_44221681_docking,8,-4.579,11.51,14.21
ligand_44221681_docking,9,-4.525,11.89,13.94
ligand_167950349_docking,1,-7.86,0.0,0.0
ligand_167950349_docking,2,-7.488,1.575,4.12
ligand_167950349_docking,3,-6.831,2.953,5.22
ligand_167950349_docking,4,-6.831,3.333,9.226
ligand_167950349_docking,5,-6.793,4.655,7.804
ligand_167950349_docking,6,-6.716,2.685,9.286
ligand_167950349_docking,7,-6.685,5.74,10.42
ligand_167950349_docking,8,-6.511,2.685,10.07
ligand_167950349_docking,9,-6.412,18.07,21.0
ligand_8547494_docking,1,-7.223,0.0,0.0
ligand_8547494_docking,2,-6.853,2.55,6.017
ligand_8547494_docking,3,-6.757,1.485,2.109
ligand_8547494_docking,4,-6.692,2.302,5.827
ligand_8547494_docking,5,-5.92,5.255,8.066
ligand_8547494_docking,6,-5.866,2.525,6.45
ligand_8547494_docking,7,-5.836,12.65,15.72
ligand_8547494_docking,8,-5.773,11.07,13.83
ligand_8547494_docking,9,-5.519,2.669,6.502
ligand_71253157_docking,1,-7.018,0.0,0.0
ligand_71253157_docking,2,-6.928,3.533,8.694
ligand_71253157_docking,3,-6.824,4.83,7.493
ligand_71253157_docking,4,-6.617,2.448,4.946
ligand_71253157_docking,5,-6.547,1.477,2.469
ligand_71253157_docking,6,-6.463,2.741,5.393
ligand_71253157_docking,7,-6.374,3.006,5.276
ligand_71253157_docking,8,-6.347,2.904,5.328
ligand_71253157_docking,9,-6.281,5.742,9.093
ligand_17179671_docking,1,-7.094,0.0,0.0
ligand_17179671_docking,2,-6.933,3.422,3.94
ligand_17179671_docking,3,-6.881,7.231,10.77
ligand_17179671_docking,4,-6.852,1.819,2.105
ligand_17179671_docking,5,-6.45,8.024,12.15
ligand_17179671_docking,6,-6.431,7.315,11.13
ligand_17179671_docking,7,-6.415,5.56,10.19
ligand_17179671_docking,8,-6.402,9.188,11.23
ligand_17179671_docking,9,-5.991,27.37,29.96
ligand_60805606_docking,1,-7.229,0.0,0.0
ligand_60805606_docking,2,-7.156,1.142,2.605
ligand_60805606_docking,3,-6.913,5.089,8.141
ligand_60805606_docking,4,-6.735,13.42,15.91
ligand_60805606_docking,5,-6.532,1.887,2.431
ligand_60805606_docking,6,-6.524,5.929,7.667
ligand_60805606_docking,7,-6.406,2.585,3.678
ligand_60805606_docking,8,-6.198,9.266,12.65
ligand_60805606_docking,9,-6.079,4.612,6.003
ligand_54837734_docking,1,-7.009,0.0,0.0
ligand_54837734_docking,2,-6.648,6.96,8.246
ligand_54837734_docking,3,-6.475,1.992,2.58
ligand_54837734_docking,4,-6.248,1.671,2.117
ligand_54837734_docking,5,-6.24,6.755,8.523
ligand_54837734_docking,6,-6.108,10.51,13.57
ligand_54837734_docking,7,-6.098,10.45,13.44
ligand_54837734_docking,8,-5.998,2.45,3.064
ligand_54837734_docking,9,-5.942,11.32,14.28
ligand_53622610_docking,1,-7.046,0.0,0.0
ligand_53622610_docking,2,-6.696,1.609,1.983
ligand_53622610_docking,3,-6.139,9.345,11.1
ligand_53622610_docking,4,-6.114,9.276,11.64
ligand_53622610_docking,5,-6.078,2.944,4.852
ligand_53622610_docking,6,-6.068,9.913,11.73
ligand_53622610_docking,7,-6.047,4.999,8.162
ligand_53622610_docking,8,-5.881,9.07,10.93
ligand_53622610_docking,9,-5.746,11.24,13.3
ligand_8543988_docking,1,-7.146,0.0,0.0
ligand_8543988_docking,2,-7.134,2.987,7.887
ligand_8543988_docking,3,-7.039,4.754,7.341
ligand_8543988_docking,4,-6.976,1.829,4.123
ligand_8543988_docking,5,-6.966,4.295,6.494
ligand_8543988_docking,6,-6.904,2.883,7.929
ligand_8543988_docking,7,-6.801,1.946,2.381
ligand_8543988_docking,8,-6.745,5.223,7.943
ligand_8543988_docking,9,-6.731,7.179,11.15
ligand_108485237_docking,1,-8.247,0.0,0.0
ligand_108485237_docking,2,-8.031,1.597,1.863
ligand_108485237_docking,3,-7.859,1.464,2.276
ligand_108485237_docking,4,-6.942,11.49,15.13
ligand_108485237_docking,5,-6.895,4.255,7.609
ligand_108485237_docking,6,-6.503,11.64,15.31
ligand_108485237_docking,7,-6.472,4.41,8.611
ligand_108485237_docking,8,-6.392,12.33,14.75
ligand_108485237_docking,9,-6.285,11.68,15.1
ligand_110407266_docking,1,-7.136,0.0,0.0
ligand_110407266_docking,2,-6.977,4.557,4.927
ligand_110407266_docking,3,-6.878,6.064,6.987
ligand_110407266_docking,4,-6.577,2.555,2.928
ligand_110407266_docking,5,-6.349,5.964,7.26
ligand_110407266_docking,6,-6.324,2.229,2.717
ligand_110407266_docking,7,-6.198,4.941,8.074
ligand_110407266_docking,8,-6.168,6.315,7.976
ligand_110407266_docking,9,-6.098,1.901,2.345
ligand_97827582_docking,1,-7.803,0.0,0.0
ligand_97827582_docking,2,-7.635,0.7533,1.27
ligand_97827582_docking,3,-7.211,2.942,6.827
ligand_97827582_docking,4,-6.991,3.059,7.204
ligand_97827582_docking,5,-6.608,3.264,6.767
ligand_97827582_docking,6,-6.511,5.725,7.26
ligand_97827582_docking,7,-6.437,2.33,3.508
ligand_97827582_docking,8,-6.254,4.516,7.651
ligand_97827582_docking,9,-6.155,12.23,15.03
ligand_110886318_docking,1,-6.621,0.0,0.0
ligand_110886318_docking,2,-6.252,12.32,15.37
ligand_110886318_docking,3,-6.202,3.121,4.541
ligand_110886318_docking,4,-6.198,12.96,15.22
ligand_110886318_docking,5,-6.166,1.374,2.156
ligand_110886318_docking,6,-6.143,2.297,3.959
ligand_110886318_docking,7,-5.968,9.055,10.86
ligand_110886318_docking,8,-5.947,13.08,15.55
ligand_110886318_docking,9,-5.757,5.109,6.847
ligand_166683845_docking,1,-6.454,0.0,0.0
ligand_166683845_docking,2,-6.29,0.6948,2.026
ligand_166683845_docking,3,-4.937,12.64,16.08
ligand_166683845_docking,4,-4.754,12.23,15.77
ligand_166683845_docking,5,-4.739,4.68,6.706
ligand_166683845_docking,6,-4.572,5.091,6.761
ligand_166683845_docking,7,-4.515,5.189,7.408
ligand_166683845_docking,8,-4.479,4.282,6.142
ligand_166683845_docking,9,-4.425,13.74,16.3
ligand_8503732_docking,1,-6.826,0.0,0.0
ligand_8503732_docking,2,-6.766,4.216,10.51
ligand_8503732_docking,3,-6.383,4.153,10.35
ligand_8503732_docking,4,-6.1,3.909,10.3
ligand_8503732_docking,5,-5.956,6.866,10.38
ligand_8503732_docking,6,-5.894,1.736,2.198
ligand_8503732_docking,7,-5.802,7.41,10.2
ligand_8503732_docking,8,-5.654,3.06,3.945
ligand_8503732_docking,9,-5.619,5.315,10.34
ligand_39361400_docking,1,-5.263,0.0,0.0
ligand_39361400_docking,2,-5.228,2.265,4.279
ligand_39361400_docking,3,-5.129,1.597,2.123
ligand_39361400_docking,4,-5.062,10.74,12.36
ligand_39361400_docking,5,-5.007,8.88,10.76
ligand_39361400_docking,6,-4.927,2.409,3.675
ligand_39361400_docking,7,-4.912,11.49,12.84
ligand_39361400_docking,8,-4.864,10.94,13.06
ligand_39361400_docking,9,-4.825,8.066,9.281
ligand_60992470_docking,1,-7.006,0.0,0.0
ligand_60992470_docking,2,-5.719,4.271,6.568
ligand_60992470_docking,3,-5.695,8.893,10.58
