cid	canonicalsmiles
10911681	C1=CC=C(C=C1)COC(=O)C(C2=CC=CC=C2)N
11129410	C1=CC=C(C=C1)COC(=O)NC(CO)C2=CC=CC=C2
64523063	CNC(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=NN2)N
61651419	CC1=CC(=CC(=C1)C(C(=O)OC)NCC2=CC=CS2)C
61347911	C1=CSC(=C1)CNC(C2=CC=CS2)C(=O)O
60731064	CCOC(=O)COC(=O)C1=CC(=CC=C1)N
60647240	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2CC2
72131700	C1CCN(CC1)C(=O)CNC(=O)C2=CC=C(C=C2)NC3=CC=NC=C3
688013	COC1=CC2=C(C=C1)NC=C2CC(C(=O)O)N
119802	COC1=CC2=C(C=C1)NC=C2CC(C(=O)O)N
151018	COC1=CC2=C(C=C1)NC=C2CC(C(=O)O)N
779618	C1=CC(=CC(=C1)NC(=O)CC2=CC=CS2)C(=O)O
854068	C1=CC=C(C=C1)COC(=O)C(CO)N
854069	C1=CC=C(C=C1)COC(=O)C(CO)N
433397	C1=CC=C(C=C1)COC(=O)C(C2=CC=CC=C2)N
450315	C1=CC=C(C=C1)COC(=O)C(CS)N
5462059	C1=CC=C(C=C1)COC(=O)C(CS)N
8925827	CNC(=O)C1=CC=C(C=C1)NC(=O)CN(C)CC2=CSC=C2
8544888	C1=CC=C(C=C1)CCNC(=O)COC(=O)C2=CC=CN2
8683991	CCNC(=O)CN(CC)CC(=O)NC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)Cl
3393606	C1=CC=C(C=C1)COC(=O)NC(CO)C2=CC=CC=C2
3788223	C1=CC=C(C=C1)COC(=O)C(CO)N
8461300	COC(=O)CNC(=O)C1=CC=C(C=C1)NC2=C3C=CSC3=NC=N2
2406226	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CC2=CC=CS2
2566151	COC1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CC=C2N
165893789	C1=CC=C(C=C1)COC(=O)N(CC(=O)O)C2=CN=CC=C2
129986197	C1=CC=C(C=C1)COC(=O)C(CCl)N
141159338	CN(C1=CC=C(C=C1)C(=O)O)C(=O)C2=CC(=NN2)N
133962155	CCNC(=O)CN(CC)C(=O)CCC1=CC=C(C=C1)C
134162304	C1=CC=C(C=C1)COC(=O)CNC2=CC=CC=C2N
153308897	C1=CC=C(C=C1)COC(=O)C(CN)N
156694371	C1=CC=C(C=C1)COC(=O)CNC2=CC=CC=C2O
162107676	COC(=O)C(C1=CC=C(C=C1)CO)N
147625340	C1=CC=C(C=C1)COC(=O)C(CN)N
146358320	CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)C3CCCN3C(=O)CC4=CSC=C4
